Best model	R1	R4	R7	R6	R8	R9
Glyma17g37540.1	0	0	0	0.000187085	0	0
Glyma13g37880.1	0	0.000187085	0	0	0	0
Glyma18g06770.1	9.35427E-05	0	9.35427E-05	0	0	0
Glyma17g02970.1	9.35427E-05	0	0	9.35427E-05	0	0
Glyma04g00280.1	0.000187085	0	0	0	0	0
Glyma06g14530.1	0	0	0	0	0.000187085	0
Glyma07g00610.1	0	0	0	0.000187085	0	0
Glyma07g15560.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma11g07520.1	0	0	0	9.35427E-05	9.35427E-05	0
Glyma08g00840.1	0	9.35427E-05	0	0	0	9.35427E-05
Glyma03g40300.1	0.000187085	0	0	0	0	0
Glyma04g03020.1	9.35427E-05	0	0	9.35427E-05	0	0
Glyma11g04960.1	0	0	0.000187085	0	0	0
Glyma15g14140.1	9.35427E-05	0	0	0	9.35427E-05	0
Glyma11g19650.1	0	0.000187085	0	0	0	0
Glyma20g21330.1	9.35427E-05	0	9.35427E-05	0	0	0
Glyma20g39090.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma02g16390.1	0	9.35427E-05	0	0	9.35427E-05	0
Glyma19g30540.1	0	0	0	0	0.000187085	0
Glyma13g37630.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma0048s00340.1	0	0	0	0	0	0.000187085
Glyma04g36940.1	9.35427E-05	0	0	9.35427E-05	0	0
Glyma19g00950.1	0	0	0	9.35427E-05	0	9.35427E-05
Glyma13g42960.1	0	9.35427E-05	0	9.35427E-05	0	0
Glyma03g35310.1	9.35427E-05	9.35427E-05	0	0	0	0
Glyma04g07790.1	9.35427E-05	9.35427E-05	0	0	0	0
Glyma05g25910.1	9.35427E-05	0	0	0	0	9.35427E-05
Glyma08g05750.1	0	0	9.35427E-05	0	9.35427E-05	0
Glyma16g06580.1	0	0	0.000187085	0	0	0
Glyma10g11620.1	0	0.000187085	0	0	0	0
Glyma11g10600.1	0	9.35427E-05	0	0	0	9.35427E-05
Glyma02g41150.1	0	0	0	0	0	0.000187085
Glyma07g08030.1	0	0.000187085	0	0	0	0
